Model,Sensitive_Feature,Demographic_Parity_Difference,Equal_Opportunity_Difference,Approval_Rates_By_Group,Recall_Rates_By_Group
Logistic Regression,Gender,0.04034065441506052,0.058712121212121215,"{'Male': 0.7422680412371134, 'Female': 0.782608695652174}","{'Male': 0.8787878787878788, 'Female': 0.9375}"
Logistic Regression,Education,0.26041666666666674,0.2983193277310924,"{'Graduate': 0.8020833333333334, 'Not Graduate': 0.5416666666666666}","{'Graduate': 0.9411764705882353, 'Not Graduate': 0.6428571428571429}"
Logistic Regression,Property_Area,0.2129186602870814,0.237012987012987,"{'Urban': 0.8181818181818182, 'Rural': 0.6052631578947368, 'Semiurban': 0.8157894736842105}","{'Urban': 0.9642857142857143, 'Rural': 0.7272727272727273, 'Semiurban': 0.9375}"
Random Forest,Gender,0.008964589870013473,0.030303030303030276,"{'Male': 0.8350515463917526, 'Female': 0.8260869565217391}","{'Male': 0.9696969696969697, 'Female': 1.0}"
Random Forest,Education,0.10416666666666663,0.05672268907563027,"{'Graduate': 0.8541666666666666, 'Not Graduate': 0.75}","{'Graduate': 0.9852941176470589, 'Not Graduate': 0.9285714285714286}"
Random Forest,Property_Area,0.07416267942583732,0.045454545454545414,"{'Urban': 0.8636363636363636, 'Rural': 0.7894736842105263, 'Semiurban': 0.8421052631578947}","{'Urban': 1.0, 'Rural': 0.9545454545454546, 'Semiurban': 0.96875}"
Gradient Boosting,Gender,0.044822949350067254,0.045454545454545414,"{'Male': 0.8247422680412371, 'Female': 0.8695652173913043}","{'Male': 0.9545454545454546, 'Female': 1.0}"
Gradient Boosting,Education,0.10416666666666663,0.04201680672268904,"{'Graduate': 0.8541666666666666, 'Not Graduate': 0.75}","{'Graduate': 0.9705882352941176, 'Not Graduate': 0.9285714285714286}"
Gradient Boosting,Property_Area,0.052631578947368474,0.014204545454545414,"{'Urban': 0.8181818181818182, 'Rural': 0.8157894736842105, 'Semiurban': 0.868421052631579}","{'Urban': 0.9642857142857143, 'Rural': 0.9545454545454546, 'Semiurban': 0.96875}"
XGBoost,Gender,0.02196324518153292,0.030303030303030276,"{'Male': 0.8041237113402062, 'Female': 0.8260869565217391}","{'Male': 0.9696969696969697, 'Female': 1.0}"
XGBoost,Education,0.17708333333333337,0.05672268907563027,"{'Graduate': 0.84375, 'Not Graduate': 0.6666666666666666}","{'Graduate': 0.9852941176470589, 'Not Graduate': 0.9285714285714286}"
XGBoost,Property_Area,0.15311004784688997,0.045454545454545414,"{'Urban': 0.8636363636363636, 'Rural': 0.7105263157894737, 'Semiurban': 0.8421052631578947}","{'Urban': 1.0, 'Rural': 0.9545454545454546, 'Semiurban': 0.96875}"
